V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241458x,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
231746,3,1,1,1,1,1,2,1,1,3,4,3,2,2,4,2,3,3,1,1,1,85,0,2,2,2,2,2,5,5,5,5,5,1,2,1,4,2,40,1,5,1,1,743607,2,PA
231788,2,1,1,1,1,1,1,1,1,3,3,2,2,3,2,3,2,2,1,1,1,70,40,3,3,3,3,3,3,4,4,5,3,1,2,2,4,2,42,1,6,1,1,241005,2,PA
231806,1,1,1,1,1,1,1,1,5,2,3,4,2,3,2,3,2,4,1,1,2,100,50,2,1,2,2,2,4,4,5,5,4,2,2,2,3,2,59,6,4,2,2,38912,2,PA
231824,2,2,1,1,1,1,1,1,1,3,3,3,4,3,3,2,3,4,1,1,1,70,30,4,2,3,2,1,3,5,5,5,3,2,1,2,3,2,54,1,5,1,4,649531,3,PA
232077,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,1,1,1,85,0,3,3,2,2,1,5,5,5,5,5,1,1,1,4,2,61,1,5,2,1,426888,1,PA
232101,1,1,1,4,1,1,1,1,1,3,5,5,5,2,4,1,5,5,1,2,2,59,0,3,3,3,3,4,5,5,4,5,5,2,1,2,4,2,32,6,5,1,6,83274,2,PA
232178,1,2,1,4,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,5,5,3,5,3,1,1,1,1,1,1,2,1,4,3,48,1,1,1,4,309859,1,PA
232229,3,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,1,1,1,70,0,3,2,3,3,3,5,5,5,5,2,1,1,1,4,2,47,1,4,1,4,715876,2,PA
232252,2,1,1,1,1,1,1,1,1,3,3,1,1,3,3,4,1,3,1,1,1,85,0,2,1,1,1,2,5,5,5,5,4,1,1,2,4,2,61,1,4,2,1,85311,2,PA
232323,3,2,1,4,1,2,1,2,2,5,1,3,3,3,5,1,3,4,2,2,2,0,100,5,5,5,5,3,1,1,3,4,2,2,1,1,1,4,38,1,2,1,1,165452,1,PA
232462,3,1,1,5,1,1,2,1,5,2,3,3,3,2,3,2,3,3,1,2,1,60,0,3,3,2,3,3,4,5,5,5,4,2,1,2,2,2,20,6,4,1,6,9722,2,PA
232555,2,2,1,5,1,1,1,1,1,2,5,5,5,2,5,2,5,5,1,1,1,65,0,3,4,3,3,2,5,5,5,5,4,1,1,2,4,2,31,6,4,2,1,186753,4,PA
232567,3,2,1,5,1,2,2,2,5,3,3,2,2,3,3,3,2,3,2,2,2,0,55,5,4,5,5,4,1,3,4,5,1,2,1,1,1,5,24,6,4,1,1,173832,5,PA
232769,2,1,1,5,1,1,1,1,1,2,1,2,2,3,3,3,2,3,1,1,1,80,0,2,3,2,2,2,4,5,5,5,3,1,1,2,3,2,33,6,4,2,1,1262,3,PA
232829,3,1,1,5,1,1,1,1,1,2,3,3,3,1,5,1,4,5,1,1,1,95,0,1,1,1,1,1,5,5,5,5,5,1,1,1,3,2,34,1,4,1,3,179830,3,PA
232900,3,2,1,4,1,1,3,1,5,3,2,4,3,3,3,3,4,3,1,2,1,60,0,2,3,2,3,2,4,5,5,5,3,2,1,1,1,2,49,1,4,1,1,311150,1,PA
232983,2,1,1,5,1,1,1,1,5,1,4,3,4,1,4,1,4,3,2,2,2,85,0,1,2,1,3,1,4,5,5,5,4,2,1,1,2,3,26,6,4,1,3,243783,4,PA
233061,4,2,1,5,1,2,2,5,5,2,4,4,3,2,4,2,4,4,2,2,2,15,85,5,5,5,5,5,2,1,2,2,1,2,1,1,3,4,21,6,2,1,4,120906,3,PA
233493,2,1,1,1,1,1,1,1,1,3,3,3,3,3,4,3,3,4,1,1,1,85,0,2,2,2,2,2,5,5,5,5,5,1,2,2,4,2,36,1,6,2,4,125371,2,PA
233595,2,1,1,4,1,1,1,1,2,2,4,3,4,1,4,1,4,5,1,1,1,70,15,1,2,1,2,2,5,5,5,2,3,3,1,1,2,3,26,6,4,1,1,85015,3,PA
233690,1,1,1,1,1,1,1,1,1,5,2,3,2,4,3,4,3,3,1,1,1,100,0,2,2,1,1,1,5,5,5,5,4,2,1,2,3,3,44,6,2,1,3,90669,2,PA
233725,2,1,1,1,1,1,1,1,5,2,4,4,4,1,4,2,4,4,1,1,1,85,0,3,1,1,1,1,4,5,5,5,3,1,1,2,3,4,21,6,2,1,3,10784,1,PA
233808,2,1,1,4,1,1,2,5,1,3,2,3,3,2,3,3,4,1,2,2,2,70,40,2,4,4,3,2,5,3,5,5,4,2,1,1,4,1,50,1,4,2,4,174767,2,PA
233873,2,1,1,1,1,1,1,1,1,2,2,3,4,3,5,4,4,4,1,1,1,85,4,2,2,2,2,2,4,3,3,5,3,1,1,2,4,2,82,1,4,2,4,43610,3,PA
233932,3,1,1,4,1,1,2,1,5,2,3,2,3,2,3,2,3,3,2,1,2,70,0,3,2,2,2,2,5,5,5,3,4,1,1,2,3,4,24,6,4,1,4,51678,3,PA
233979,3,1,1,1,1,1,1,1,5,3,3,3,3,1,5,2,5,3,2,2,1,85,0,3,3,3,3,5,4,4,5,4,5,1,2,3,3,3,25,6,4,1,3,6247,5,PA
234044,4,2,1,2,1,1,1,2,2,2,4,1,2,2,4,2,3,4,2,2,1,40,15,5,5,3,4,2,4,5,2,5,2,1,2,1,2,2,63,4,4,1,1,52655,2,PA
234107,2,1,1,1,1,1,1,1,5,2,4,4,4,2,4,2,4,4,1,1,1,70,15,3,3,2,3,2,5,4,4,5,3,1,1,2,3,2,24,6,4,1,1,95179,3,PA
234274,3,1,1,1,1,1,1,1,5,2,2,4,3,3,2,1,4,3,2,1,1,70,0,2,4,2,4,2,4,5,5,5,3,1,1,1,2,2,30,6,4,1,1,91298,2,PA
234542,3,1,1,1,1,1,2,1,5,3,2,2,3,3,3,3,2,2,1,1,1,70,40,3,3,4,3,2,5,5,5,5,2,2,1,1,3,3,32,1,4,1,3,589257,3,PA
234572,2,1,1,1,1,1,2,1,1,2,4,4,4,3,4,2,4,3,2,1,2,70,30,3,2,2,3,2,5,5,5,5,5,1,2,2,3,4,34,1,2,1,2,21148,2,PA
234749,2,1,1,1,1,1,1,1,1,4,2,3,4,4,2,3,4,3,1,1,1,100,0,1,2,2,1,2,2,5,5,5,5,2,1,1,3,3,46,1,4,1,1,62727,2,PA
234767,3,1,1,1,1,1,1,1,1,4,3,1,3,4,2,4,3,2,1,1,1,90,15,1,1,1,2,1,3,5,5,5,3,1,2,3,4,2,78,1,5,2,1,162307,2,PA
