Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Montana,NorthCarolina,Wyoming
25,Adapted Physical Education Specialists,3.88,2.12,2.12,3.38,3.38,3,2,2.75,4,4.12,2.75,1.88,3.12,3,3,2.38,3.88,3.88,2,2,2,3,2,2,2, ,63830, 
51,Adhesive Bonding Machine Operators and Tenders,3.12,3,1.88,1.88,3,3.62,2.5,2.12,3.25,3.12,3.25,3.25,3.12,3.12,3.62,3.12,3.12,2.75,1,1,1,1,1,1,3, ,35300, 
25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.5,1,1,3.25,3.25,1,2.88,2.75,3.88,4.25,2.62,1,3,1,1,2,4,4,2,2,3,2,2,2,1,59760,53500,49440
25,"Agricultural Sciences Teachers, Postsecondary",4,1.75,1.38,3.38,4,2,3,3,4.12,4.5,2.12,1.75,2.62,1.75,1.88,2.12,4.12,4,2,2,2,2,2,2,1,112740,97660,80750
51,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3.12,2.75,1.75,2.88,3,3.38,2.25,2,3.12,3,3,2.5,3,2.5,2.88,3.38,3.12,2.88,1,2,1,1,1,1,3, ,55620, 
25,"Anthropology and Archeology Teachers, Postsecondary",3.88,1.25,1,3.38,3.88,1.5,2.88,3,4.12,4.5,2.25,1,3,1,1,2.12,4.12,4.12,2,2,3,2,2,2,1, ,82580, 
25,"Architecture Teachers, Postsecondary",4,1,1,3.5,3.88,1,3.12,2.88,4,4.25,2.38,1.25,2.88,1,1,3.5,4,4,2,2,3,2,2,2,1, ,85120, 
25,Archivists,3.62,2,1.38,3,3.5,2,2.12,2.62,3.75,3.88,2.38,1,3,1.75,2,2.38,4,3.88,2,2,2,2,1,1,1, ,57460, 
25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.62,1,1,3.12,3.75,1,2,2.75,4,4.12,2.12,1,2.88,1,1,2,4,4.12,2,2,2,3,2,2,1,83540,79590, 
25,"Art, Drama, and Music Teachers, Postsecondary",3.5,1.38,1.25,3.5,3.62,2.12,2,2.5,4,4.25,2.12,1.38,2.88,1.25,1.62,3,4.12,4.12,2,2,2,2,2,2,1,78140,71290,62760
25,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,1.12,1,3,4,1,3.38,3,4,4.75,2.12,1,2.75,1,1.25,2.12,4,4,2,2,2,2,2,1,1,121610,110800,95500
51,Bakers,3,2,1.12,2.75,2.88,3,2.25,2,3.25,3.12,3,2.12,3,2.12,2.12,2.88,3,2.5,1,1,1,1,1,1,2,36550,34460,36210
51,Biofuels Processing Technicians,3.38,2.62,2.75,2.75,3.38,3.38,2.75,2.5,3.5,3.5,3.38,3.38,3.38,2.38,2.62,3,3.5,3.25,1,2,2,2,2,1,3,73930,64320,69710
25,"Biological Science Teachers, Postsecondary",4,1,1,3.38,4,1.75,3.12,2.75,4.12,4.62,2.25,1,2.88,1,1,2,4.12,4.12,2,2,2,2,2,2,1,106850,90470,83110
