V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
215658,3,1,1,4,1,1,3,5,1,3,3,3,4,3,3,2,2,4,2,1,1,85,15,3,3,2,2,3,5,5,5,5,4,2,1,1,3,2,6,4,1,1,0,244637,4,SW
215821,4,1,1,5,1,1,1,1,1,3,3,3,3,3,4,4,3,3,2,1,1,50,50,1,1,1,1,1,1,5,5,5,5,2,1,2,3,3,6,5,1,2,2,13477,3,SW
216085,2,2,1,5,1,2,1,2,2,3,3,3,3,3,3,3,4,3,2,2,1,30,70,5,3,5,5,3,3,3,2,2,3,1,1,1,3,2,1,4,1,1,1,925057,2,SW
216091,2,1,1,5,1,2,1,1,5,5,3,1,5,3,5,3,3,5,2,2,1,70,70,3,3,3,3,2,2,3,4,2,2,2,1,1,4,3,6,4,1,3,0,103289,3,SW
216103,3,1,1,5,1,2,2,2,2,3,4,3,3,3,4,3,3,3,2,2,2,10,65,5,5,5,5,5,2,3,2,3,2,1,1,1,3,2,1,4,1,3,0,87454,1,SW
216115,2,1,1,5,1,1,1,1,1,4,3,4,3,3,4,4,2,4,1,1,1,70,15,1,3,1,2,1,4,5,5,5,4,1,2,2,4,2,1,4,1,1,0,176054,1,SW
216150,3,2,1,5,1,2,4,5,2,3,3,4,4,3,3,2,4,4,2,2,1,50,85,5,4,3,5,4,1,3,3,4,4,2,1,1,3,3,6,2,1,2,0,50782,1,SW
216407,3,1,1,5,1,1,1,1,1,3,5,5,5,2,5,2,2,5,1,2,1,70,10,2,3,1,3,2,4,5,5,5,5,1,1,2,3,2,1,2,1,1,0,240382,3,SW
217972,4,1,1,5,1,1,2,1,2,3,2,4,3,2,5,2,4,3,2,2,1,70,40,2,3,3,3,2,3,5,3,5,3,2,1,1,2,2,1,2,1,1,0,93857,3,SW
218137,3,1,1,5,1,1,3,5,5,3,3,3,2,2,3,2,4,3,2,2,1,40,60,2,3,2,2,2,3,5,3,5,1,2,1,1,2,2,3,3,2,1,0,14274,2,SW
218349,2,1,1,5,1,1,1,1,1,4,2,1,2,3,3,2,3,3,1,1,1,85,15,1,2,1,2,1,5,5,5,5,4,1,1,3,4,2,6,4,2,1,0,95604,2,SW
218408,3,1,1,5,1,1,2,1,1,3,5,5,5,3,5,3,5,5,1,1,1,70,15,2,3,2,2,3,2,5,5,5,2,1,1,2,3,2,3,5,2,1,1,38730,3,SW
218426,1,2,1,5,1,2,1,5,2,3,2,3,2,2,3,2,4,3,2,2,2,15,60,5,5,4,5,4,3,3,3,5,2,1,1,1,2,2,6,4,1,1,0,527056,2,SW
218563,4,2,1,5,1,2,2,2,2,4,3,1,2,2,4,3,3,3,2,2,2,40,60,5,3,2,5,2,2,3,4,5,2,2,1,1,3,2,1,5,1,3,0,179965,2,SW
218651,2,2,1,5,1,1,4,5,5,2,3,3,3,2,3,2,2,3,2,2,2,50,50,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,6,2,1,3,2,117490,2,SW
218657,3,1,1,5,1,1,3,1,1,3,4,4,5,1,4,1,5,4,1,1,1,60,30,3,2,2,3,3,5,5,4,5,4,2,2,1,4,3,6,3,2,3,0,49159,3,SW
218681,4,1,1,5,1,1,2,5,5,3,5,4,4,1,5,2,4,2,2,2,2,65,65,4,4,4,4,4,3,4,2,3,4,2,1,1,3,3,4,2,1,3,2,50155,2,SW
218805,2,1,1,1,1,1,3,1,1,2,1,2,1,3,1,3,1,2,1,1,1,85,15,2,3,2,3,2,4,3,3,4,4,2,2,2,2,2,6,2,2,2,1,2454,2,SW
218935,4,1,1,5,1,1,1,1,1,3,4,4,4,1,4,1,4,4,1,1,1,90,15,2,1,2,1,2,5,5,5,5,3,2,1,2,3,4,3,4,2,2,0,73957,2,SW
218982,3,2,1,5,1,2,2,2,2,2,4,4,5,1,5,1,5,4,2,2,2,15,85,5,4,4,4,4,2,3,2,4,1,1,1,1,3,3,3,1,2,1,0,60333,3,SW
219014,4,1,1,5,1,1,2,1,1,3,3,3,3,3,3,3,3,3,1,2,1,85,15,2,2,2,2,1,5,5,5,5,5,1,1,1,3,4,4,4,2,1,0,54951,2,SW
219032,2,1,1,1,1,1,1,5,5,3,4,3,4,3,4,3,4,4,1,2,1,60,15,2,1,1,3,2,5,5,5,5,3,1,1,1,4,4,6,2,1,4,0,73884,3,SW
219050,2,2,1,4,1,2,1,2,2,4,2,1,3,1,4,2,2,2,2,2,2,25,25,2,5,3,3,5,1,2,2,3,2,1,2,1,1,1,6,2,1,1,0,91769,3,SW
219092,2,2,1,2,1,2,1,2,2,3,1,1,1,3,2,3,3,3,2,2,2,30,60,5,5,5,5,5,5,5,4,5,3,1,1,1,2,2,1,6,1,1,1,232053,2,SW
219104,2,2,1,5,1,2,1,2,2,3,5,4,5,3,5,3,5,5,2,2,1,15,85,5,5,5,5,3,2,2,2,2,2,1,1,1,4,3,1,3,2,1,0,243860,2,SW
219373,2,2,2,5,1,2,1,5,2,4,2,3,2,3,2,3,2,2,1,1,1,40,85,5,4,4,4,4,2,3,3,3,2,2,2,2,4,3,3,1,2,1,0,49615,4,SW
219491,2,1,2,5,1,2,1,5,5,3,5,4,4,2,4,2,4,4,2,2,2,15,85,4,4,4,4,2,1,2,2,3,1,2,2,2,4,3,6,4,1,1,0,46844,4,SW
219497,2,2,2,5,1,2,5,5,5,3,3,5,5,3,3,1,3,5,2,2,2,60,60,5,5,5,5,5,1,1,1,1,1,3,1,1,3,5,1,1,1,2,0,3469,2,SW
219521,3,1,2,5,1,1,4,5,5,2,3,1,1,3,3,1,1,1,2,1,2,50,15,2,3,3,4,2,4,5,4,5,4,2,1,1,2,5,1,1,1,3,0,35927,4,SW
219556,2,1,1,5,1,1,2,1,1,2,4,3,3,2,3,3,3,4,2,1,2,40,30,2,2,3,3,2,4,5,5,5,5,1,2,1,3,2,6,4,1,2,0,103817,1,SW
219586,2,2,1,5,1,1,2,5,5,2,2,2,2,4,2,4,2,2,1,1,1,60,60,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,6,2,1,2,0,50790,2,SW
219841,2,1,1,5,1,1,2,1,1,4,3,2,3,3,3,3,3,3,1,1,1,100,40,2,1,2,2,1,4,5,3,5,4,1,1,3,3,2,1,2,2,2,3,6456,2,SW
219888,3,1,1,5,1,1,1,1,1,2,4,3,3,3,4,1,3,4,1,1,1,70,30,2,2,2,2,1,5,5,5,5,5,2,1,1,3,2,4,4,1,1,0,674584,1,SW
220202,2,2,1,2,1,2,3,5,2,2,3,2,2,3,2,2,2,3,2,2,2,40,65,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,1,4,1,1,0,200349,1,SW
220464,2,1,1,5,1,1,2,1,1,3,5,5,5,2,5,2,5,5,2,1,1,75,5,1,3,1,1,1,5,5,5,5,4,1,1,1,3,4,1,3,1,1,4,150746,2,SW
221138,2,1,1,5,1,1,1,1,1,3,2,3,4,1,3,1,4,5,1,1,1,70,30,1,2,1,2,1,5,5,5,5,5,2,1,1,3,4,6,2,1,2,0,176919,3,SW
221406,3,1,1,5,1,1,1,1,1,2,3,4,4,2,4,3,5,4,1,1,1,50,30,2,1,2,3,2,5,5,5,5,5,1,1,2,4,4,1,2,1,1,0,562117,2,SW
221792,4,1,2,5,1,1,3,5,5,1,3,3,4,1,3,1,4,4,1,1,1,70,40,4,5,4,4,4,4,5,5,5,4,2,1,1,2,4,6,2,1,6,0,59315,5,SW
221816,2,1,1,1,1,1,1,1,1,2,4,3,3,2,4,3,3,2,1,1,1,75,30,1,1,2,2,1,5,5,5,5,5,3,1,2,4,4,6,4,1,3,0,31471,1,SW
222189,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,1,1,1,85,15,1,1,1,1,2,5,5,5,5,4,1,1,1,4,2,1,2,1,5,1,96598,1,SW
222294,2,1,1,1,1,1,1,1,1,3,3,1,2,3,3,1,2,3,1,1,1,70,30,2,3,1,2,1,5,5,4,5,3,2,1,2,3,2,1,6,1,1,2,224144,2,SW
222306,2,1,2,5,1,1,1,5,5,3,2,3,3,3,3,3,2,3,1,2,1,99,15,1,1,1,1,1,3,5,2,5,4,2,1,1,4,3,1,1,1,1,0,5342,2,SW
222541,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,2,4,4,1,1,1,75,10,3,3,1,2,2,4,5,5,5,4,1,1,2,4,2,6,5,1,1,0,120992,3,SW
222553,2,2,1,5,1,2,1,1,2,1,5,5,5,1,5,1,5,5,2,2,2,50,50,1,5,1,1,1,1,3,1,1,1,2,1,1,1,3,1,2,1,3,1,50911,1,SW
222589,1,1,1,5,1,1,1,1,1,2,2,2,3,1,3,2,3,3,1,1,1,85,30,1,2,2,1,1,2,5,5,5,5,2,1,2,4,2,6,4,2,3,0,94812,3,SW
222607,2,1,1,4,1,1,1,5,2,4,3,3,3,4,3,4,4,3,1,1,1,55,30,3,3,2,2,2,5,4,3,3,2,2,2,1,4,2,6,2,1,1,0,44452,3,SW
222643,4,1,1,2,1,1,2,1,1,3,1,1,2,4,3,3,2,2,1,1,1,60,5,3,3,3,2,2,4,5,5,5,4,1,2,3,4,2,1,6,2,1,0,123671,2,SW
222655,1,1,1,2,1,1,1,1,5,4,2,3,3,4,3,3,3,3,1,1,1,65,25,3,3,1,2,1,3,5,5,5,3,1,2,2,4,2,1,5,2,1,2,84222,2,SW
222690,3,2,1,5,1,2,1,2,2,1,4,4,4,1,5,1,5,5,2,2,2,15,70,5,5,5,5,4,3,3,2,3,2,2,1,1,1,3,1,3,1,1,0,168999,2,SW
222833,4,2,1,4,1,2,1,2,5,2,4,5,5,1,5,2,4,5,2,2,2,50,50,5,5,4,4,4,2,3,2,2,2,2,1,1,2,4,3,2,1,1,0,30634,4,SW
222951,2,1,2,5,1,2,3,5,5,3,2,2,2,2,3,2,2,2,1,1,1,30,40,2,2,1,3,1,3,2,2,4,2,2,2,2,3,3,1,3,2,4,0,62078,4,SW
222969,2,1,1,5,1,1,1,1,5,3,4,3,3,2,4,2,3,4,1,1,1,70,15,2,1,2,2,1,5,5,5,5,3,1,1,2,3,2,6,4,1,1,0,51129,2,SW
223195,1,1,1,1,1,1,1,1,1,4,2,2,2,3,3,2,2,3,1,2,2,69,20,2,1,2,2,1,5,5,5,2,5,2,2,3,3,3,4,2,1,2,0,6517,2,SW
223296,4,1,1,5,1,1,1,1,1,3,2,3,2,3,3,3,3,2,2,2,2,70,40,3,2,2,2,2,4,4,5,5,4,2,2,1,4,3,1,2,2,1,0,245276,2,SW
