V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241621,V243052
216020,1,1,1,1,1,1,1,1,1,2,3,3,2,2,3,4,4,2,1,1,2,90,15,68,70,15,3,1,2,3,2,3,5,5,5,2,1,1,2,4,2,6,4,1,1,2,SOA
216174,4,1,1,5,1,1,1,5,5,3,2,2,2,3,2,1,3,2,1,1,1,70,15,60,40,15,3,3,1,4,3,5,5,5,5,4,2,1,1,3,2,1,3,2,1,2,SOA
216210,3,1,1,5,1,1,1,1,1,4,3,4,4,3,4,3,5,5,1,1,1,80,0,85,65,10,3,2,2,2,2,5,5,5,5,4,1,1,1,4,2,1,5,1,1,2,SOA
216216,3,2,1,5,1,1,1,1,1,2,3,3,3,3,4,2,3,3,2,2,2,55,15,50,60,40,3,4,3,3,3,3,5,3,5,4,1,1,1,4,2,1,2,1,3,2,SOA
216593,4,2,1,5,1,2,1,2,2,1,2,3,1,2,3,1,3,3,2,2,2,30,70,15,15,85,5,5,5,5,5,2,2,1,3,1,1,1,1,1,2,4,4,2,1,3,SOA
216687,3,2,1,4,1,2,3,5,5,5,3,1,3,3,3,5,3,3,2,2,2,50,80,50,50,90,3,4,4,4,4,3,2,4,4,5,2,1,2,3,4,1,4,1,4,3,SOA
216804,4,1,1,2,1,1,1,1,1,3,2,3,3,2,3,3,3,3,1,2,1,85,15,60,60,70,2,2,2,1,1,4,5,5,5,2,1,2,1,4,2,1,5,1,1,2,SOA
216816,4,1,2,5,1,2,4,5,5,3,3,5,4,1,5,1,4,4,2,2,2,50,50,30,50,30,3,4,3,4,5,2,4,5,1,1,1,1,3,2,3,6,2,1,6,4,SOA
216874,2,1,1,1,1,1,2,1,1,3,2,1,1,2,1,1,3,3,1,1,1,90,0,100,100,85,1,1,1,1,3,5,1,5,5,5,1,1,2,3,2,6,6,1,2,3,SOA
216976,2,1,1,5,1,1,2,1,1,2,3,1,3,2,2,3,2,3,1,1,1,1,0,85,100,15,1,1,1,1,1,5,5,5,5,5,2,2,2,5,4,3,2,2,2,3,SOA
216988,1,1,1,1,1,1,1,1,1,3,4,4,3,3,4,3,4,5,1,1,1,85,0,85,85,15,2,1,1,3,1,5,5,5,5,5,1,1,2,4,2,6,6,1,3,2,SOA
217041,2,1,1,4,1,1,1,1,1,4,2,3,2,4,3,1,3,3,1,2,1,70,15,60,70,50,3,3,3,2,2,5,5,5,5,3,1,1,1,3,2,1,2,2,3,1,SOA
217287,3,1,1,5,1,1,1,1,5,3,2,2,3,2,2,3,5,2,1,1,1,75,0,60,60,15,2,3,2,2,2,5,5,5,5,4,1,1,2,3,3,6,4,1,1,3,SOA
217533,3,1,1,1,1,1,3,1,5,3,3,3,3,3,3,3,3,3,2,2,1,60,50,50,50,40,3,4,3,4,3,4,5,3,2,2,2,2,1,3,4,4,3,2,1,3,SOA
217995,3,1,1,5,1,1,1,1,1,2,1,2,1,2,2,3,2,1,2,2,2,30,10,20,40,40,4,3,4,2,2,4,4,3,5,3,3,1,1,4,2,1,4,1,1,2,SOA
218031,2,1,1,5,1,1,1,1,1,3,2,3,2,2,3,2,3,2,1,2,2,85,0,75,75,35,3,2,3,2,2,5,5,5,5,5,2,1,2,4,3,6,6,1,1,2,SOA
218090,3,1,1,1,1,1,1,1,1,2,4,4,2,2,4,3,4,4,2,1,1,85,0,60,60,15,2,1,1,3,1,5,5,5,5,2,1,1,1,3,3,6,4,1,2,2,SOA
218236,4,2,1,5,1,1,2,1,5,3,4,4,3,2,4,2,4,4,2,2,2,60,0,60,70,30,3,4,3,3,2,5,5,5,5,3,1,1,1,2,3,1,4,1,1,3,SOA
218284,2,1,1,5,1,1,1,1,1,4,2,1,1,4,3,3,1,2,1,2,1,70,0,70,70,15,3,1,2,2,2,2,5,5,5,2,1,1,2,4,2,1,4,2,1,1,SOA
218296,1,1,1,1,1,1,1,1,1,2,4,3,3,2,4,2,3,4,1,1,1,70,0,60,60,15,4,3,3,2,2,5,5,5,5,3,1,1,2,4,2,1,5,2,1,2,SOA
219609,4,2,1,5,1,2,1,1,2,4,3,3,3,3,3,3,5,4,2,2,2,60,70,50,85,70,3,3,3,1,3,2,2,4,1,2,2,1,2,4,5,1,4,1,2,1,SOA
220476,1,2,1,2,1,2,1,2,2,2,3,3,3,3,3,2,3,3,2,2,2,30,78,22,15,89,5,3,4,4,3,1,1,2,4,1,1,1,1,3,2,1,3,2,1,2,SOA
220561,3,1,1,2,1,2,3,2,5,3,3,3,3,2,3,2,1,3,2,2,1,40,50,30,50,50,2,2,3,3,3,2,3,3,3,3,2,2,2,3,2,6,2,2,3,3,SOA
220702,2,1,1,1,1,1,1,1,1,3,3,3,3,2,3,2,4,2,1,1,1,85,0,85,85,15,2,2,2,2,1,5,5,5,5,3,1,2,3,4,2,4,5,2,1,3,SOA
220852,3,1,1,1,1,1,2,5,5,3,2,1,2,2,2,1,1,1,2,2,1,85,40,60,50,50,1,1,1,2,1,3,5,2,5,4,2,1,1,2,5,6,2,1,3,2,SOA
220882,4,1,1,5,1,1,1,1,5,3,5,5,5,3,5,1,5,5,1,1,1,99,0,90,99,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,5,1,4,1,4,4,SOA
220946,2,1,1,2,1,1,3,5,5,2,2,3,3,1,2,1,3,3,2,2,1,70,30,40,70,40,2,4,2,2,1,3,4,4,5,4,2,2,2,4,2,1,2,2,1,4,SOA
