V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
207027,2,2,1,5,1,1,1,5,5,3,4,4,3,3,4,2,4,4,1,2,1,60,15,50,3,3,2,3,2,4,5,5,5,3,1,1,1,4,2,6,4,1,1,255291,4,MWW
208206,3,1,1,5,1,1,1,1,1,3,1,2,2,3,2,3,1,2,1,2,2,85,10,60,3,2,2,2,2,2,5,3,5,2,1,2,2,4,2,4,4,1,1,80443,2,MWW
208497,2,1,1,5,1,1,1,1,1,3,3,4,3,1,4,1,4,4,1,1,1,100,0,70,2,1,2,2,1,5,5,5,5,4,2,1,1,4,2,1,3,2,1,160610,2,MWW
208503,2,1,1,5,1,1,1,1,1,4,3,3,3,4,3,4,3,3,1,1,1,95,0,90,1,1,1,1,2,5,5,5,5,3,1,2,2,4,2,3,4,2,1,88057,1,MWW
208735,4,2,1,5,1,2,4,5,5,2,3,2,2,1,3,1,2,2,2,2,2,30,60,30,5,4,5,4,4,2,2,2,3,2,2,1,1,4,3,4,2,1,1,43235,2,MWW
209394,4,1,1,4,1,1,2,1,1,4,2,2,2,4,2,4,2,2,2,2,1,100,0,60,1,2,1,2,1,5,5,5,5,5,2,1,1,3,2,6,4,1,1,121814,2,MWW
209736,3,1,2,5,1,1,2,5,5,2,2,1,3,1,3,1,2,3,1,1,1,75,0,50,2,3,2,2,2,5,5,5,5,5,2,1,2,4,5,6,2,1,1,118843,4,MWW
209893,2,2,1,5,1,1,1,1,1,3,3,2,2,2,2,3,3,4,2,2,2,60,15,65,3,2,4,2,2,4,5,5,5,2,1,2,1,4,2,6,5,1,1,243395,3,MWW
209940,3,2,1,1,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,85,0,4,4,4,4,4,2,2,2,2,2,2,1,1,2,4,6,2,1,1,168467,3,MWW
210045,3,2,1,5,1,1,1,1,2,5,1,1,2,4,1,4,1,1,1,1,1,85,10,50,2,3,3,2,3,5,5,5,5,5,2,1,1,1,5,1,3,1,1,15823,2,MWW
210153,3,1,1,1,1,1,1,1,1,2,3,3,2,2,3,3,3,3,2,2,1,85,0,70,1,1,1,1,1,5,5,5,5,5,2,2,2,4,2,3,2,2,1,34519,4,MWW
210165,1,1,1,5,1,1,1,1,1,3,3,2,2,3,3,3,2,2,1,2,1,85,15,90,2,2,1,1,1,5,5,5,5,4,1,1,1,2,2,1,3,2,1,84001,1,MWW
210177,2,1,1,5,1,1,1,1,1,4,3,1,2,4,2,4,3,2,1,1,1,85,15,85,2,3,2,2,1,4,5,4,5,5,1,1,2,4,2,3,2,2,1,76135,2,MWW
210219,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,4,3,1,2,1,100,0,100,2,2,1,2,1,5,5,5,5,3,1,1,2,4,2,1,4,2,1,25102,3,MWW
211193,2,2,1,2,1,2,1,2,2,4,5,3,4,2,5,1,5,3,2,2,2,15,70,15,5,5,3,5,3,2,3,2,3,2,1,1,1,3,3,1,2,1,1,89105,2,MWW
211430,2,1,1,5,1,1,1,1,5,1,5,4,4,1,5,2,4,5,2,2,2,30,15,40,4,3,4,4,2,4,5,3,5,3,1,1,1,3,2,1,3,2,1,88556,3,MWW
211621,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,3,1,5,1,1,1,100,0,85,2,2,1,2,2,4,5,5,5,2,3,1,1,3,3,6,4,1,6,5079,3,MWW
211828,2,2,1,2,1,2,1,2,5,1,5,5,5,1,5,1,5,5,2,2,2,5,70,0,5,3,4,5,1,1,3,1,4,3,2,1,1,2,3,6,4,1,1,4722,3,MWW
211834,4,1,1,1,1,1,1,1,1,3,4,2,2,3,2,4,3,3,2,2,1,70,0,70,3,3,3,3,2,5,5,5,5,5,2,1,1,3,4,6,3,2,1,37187,3,MWW
211858,3,2,1,5,1,2,1,1,2,3,4,4,4,3,4,3,4,4,2,2,2,60,40,40,5,4,3,4,3,4,4,3,4,3,1,1,2,2,3,1,2,2,1,219709,2,MWW
212125,3,2,2,5,1,2,3,2,5,2,4,3,3,1,4,3,4,4,2,2,2,0,85,15,5,5,5,5,2,1,1,1,2,1,2,1,1,2,2,6,4,2,1,19522,3,MWW
212599,1,2,1,2,1,2,1,2,2,4,3,3,2,3,3,4,4,3,2,2,2,0,100,0,5,5,5,5,3,1,1,1,2,2,1,1,1,3,3,1,2,1,1,25507,1,MWW
212842,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,2,1,85,0,70,2,2,2,2,1,5,5,5,5,4,1,1,2,4,3,1,3,1,1,73626,3,MWW
