V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
200380,2,1,1,1,1,1,1,1,1,3,3,4,4,1,4,1,4,4,1,2,2,40,15,2,2,2,2,2,3,5,5,5,4,2,1,1,2,2,4,2,2,6,0,5143,2,MIDA
200638,4,1,1,4,1,1,2,1,1,4,3,3,3,3,3,3,3,2,1,1,1,85,25,2,2,2,2,2,5,5,4,5,3,2,2,2,3,4,1,5,1,1,0,195266,4,MIDA
200715,1,1,1,1,1,1,1,1,1,4,3,4,3,3,3,4,3,3,1,1,1,85,15,3,2,1,2,1,3,5,4,5,5,1,1,1,3,3,1,2,1,1,0,70719,4,MIDA
200952,1,1,2,5,1,2,2,5,5,3,1,1,2,1,3,1,3,1,2,2,2,85,15,3,1,3,2,3,2,5,2,5,2,2,2,1,4,4,1,2,2,3,3,59295,1,MIDA
201192,1,1,1,4,1,1,1,1,2,4,5,3,2,2,4,3,4,5,1,1,1,70,15,2,1,2,2,1,5,5,5,5,4,2,1,2,3,2,6,5,1,1,0,54234,3,MIDA
201276,4,1,1,1,1,1,1,1,1,3,3,2,2,1,4,1,4,4,1,1,1,85,15,2,1,2,1,1,3,5,5,5,3,2,2,2,4,2,4,5,2,1,0,213302,2,MIDA
201364,2,1,1,1,1,1,1,1,1,2,3,4,3,2,4,2,2,3,1,2,1,60,30,2,2,2,2,1,5,5,3,4,4,1,2,2,3,4,1,6,2,4,2,161924,2,MIDA
201529,1,1,1,4,1,1,1,1,2,3,3,1,1,3,2,2,2,2,1,2,1,70,40,3,3,2,3,2,5,5,5,5,3,1,1,2,4,3,1,2,1,1,3,82011,1,MIDA
201560,1,2,1,2,1,2,1,5,5,1,5,5,5,1,5,1,5,5,2,2,2,4,82,5,5,5,5,5,1,1,1,1,2,3,1,1,3,3,6,2,1,1,0,85062,3,MIDA
201865,4,1,1,1,1,1,1,1,1,3,3,3,4,3,3,4,3,2,1,1,1,85,60,4,4,4,4,3,5,5,5,5,5,1,1,1,2,2,1,2,1,3,0,287938,3,MIDA
203254,3,1,1,1,1,1,1,1,1,3,3,2,4,1,3,2,1,3,1,2,1,85,40,3,2,2,2,2,3,4,3,5,4,1,2,1,3,3,1,5,1,2,0,198209,3,MIDA
203331,2,1,1,4,1,1,1,1,5,4,2,3,2,3,2,3,3,2,2,1,2,55,25,2,3,2,3,3,4,5,5,5,4,1,1,1,3,2,6,4,2,3,4,100905,3,MIDA
203764,3,2,1,2,1,2,1,2,2,2,2,4,4,1,3,1,5,3,2,2,2,15,90,5,5,5,5,3,1,2,1,3,3,1,1,1,2,2,6,4,1,1,0,46305,3,MIDA
203886,3,1,1,1,1,1,3,1,1,4,4,2,4,2,3,1,4,3,1,1,1,100,15,3,2,2,2,1,5,5,5,5,4,1,1,2,3,4,1,5,2,1,3,75115,2,MIDA
204041,1,2,1,2,1,2,1,2,2,2,3,4,4,2,4,1,3,3,2,2,2,40,70,5,5,5,5,5,2,3,3,2,1,1,1,1,4,2,1,5,1,1,0,243897,3,MIDA
204130,2,1,1,2,1,1,2,1,1,2,1,1,1,4,2,2,1,1,1,1,1,90,60,1,2,1,2,3,5,5,5,5,5,1,2,2,4,3,1,5,1,1,1,104486,2,MIDA
204148,3,1,1,1,1,2,1,5,5,3,4,2,3,3,3,2,3,4,1,2,1,60,40,2,1,2,2,3,5,5,5,5,4,2,1,2,4,2,6,2,1,6,2,42510,4,MIDA
204411,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,3,1,1,1,100,10,1,1,2,1,1,3,5,3,5,3,1,2,2,3,3,6,4,1,1,0,144929,3,MIDA
204563,1,1,1,1,1,1,1,5,1,4,3,4,3,4,1,4,3,3,1,1,1,70,30,1,1,1,1,1,5,5,5,5,3,1,1,1,4,2,6,5,1,1,0,739914,1,MIDA
204609,2,1,1,1,1,1,1,1,1,3,3,2,3,3,4,2,4,4,1,2,1,60,30,2,2,2,2,2,5,5,5,5,3,1,1,2,3,2,1,2,2,1,0,500297,2,MIDA
204649,4,1,1,2,1,1,3,5,5,2,4,3,4,1,4,1,4,4,1,2,2,15,60,2,2,2,2,2,5,5,5,5,5,2,1,1,2,2,3,2,1,1,1,85386,3,MIDA
204877,3,1,1,2,1,1,1,1,1,3,3,3,2,3,3,3,3,3,1,1,2,85,15,3,3,2,2,1,4,5,5,5,4,1,1,2,4,2,1,4,2,1,0,78893,1,MIDA
204888,2,1,1,1,1,1,1,1,1,4,3,3,2,1,4,1,3,3,1,1,1,85,40,1,1,1,2,1,5,5,5,5,4,1,1,1,3,3,4,5,2,2,0,35726,3,MIDA
204941,1,2,1,2,1,2,1,2,2,3,5,5,5,1,5,2,5,5,2,2,2,2,55,5,5,5,5,5,1,1,2,3,2,1,1,1,2,4,1,4,1,1,2,5244,3,MIDA
205170,1,2,1,1,1,1,1,1,2,2,2,4,4,1,3,3,4,3,2,2,2,70,30,3,1,3,4,2,5,5,5,5,5,2,1,1,4,2,4,5,2,2,0,80942,1,MIDA
205218,1,1,1,4,1,1,1,1,1,5,3,2,2,5,3,4,2,2,1,1,1,70,15,1,1,1,2,1,5,5,5,5,4,1,1,2,4,2,1,5,1,1,2,173509,2,MIDA
205272,2,2,1,2,1,2,1,2,2,3,4,4,4,2,5,2,5,4,2,2,2,30,40,5,4,4,5,3,3,4,3,5,2,2,1,2,3,2,1,5,1,1,1,71785,3,MIDA
205296,2,2,1,2,1,2,1,2,5,1,5,5,3,1,5,1,5,5,2,2,2,30,70,5,5,5,5,5,1,2,1,2,2,1,1,2,2,2,3,2,1,1,1,62745,2,MIDA
205446,1,2,1,2,1,2,1,2,2,1,4,4,4,1,4,1,4,4,2,2,2,40,85,5,4,4,4,5,1,1,2,2,1,2,2,1,4,2,1,2,1,1,0,95995,3,MIDA
205676,3,2,1,2,1,2,1,2,2,5,2,4,3,1,4,1,4,3,2,2,2,50,85,5,5,5,5,5,1,1,1,1,1,2,1,1,2,4,1,1,1,1,1,79914,4,MIDA
205695,2,1,1,1,1,1,1,1,1,3,2,2,3,2,2,3,3,2,1,1,1,70,15,3,1,3,1,2,5,5,5,5,4,2,1,1,3,3,4,4,2,1,0,1876,2,MIDA
205748,2,1,1,1,1,1,1,1,1,2,5,5,5,1,5,1,5,5,2,2,1,70,15,2,3,1,3,1,5,5,5,5,5,1,1,1,3,3,1,2,2,1,0,77164,3,MIDA
205760,3,2,1,4,1,1,2,1,1,1,5,4,4,1,4,1,4,4,2,2,2,40,40,4,4,4,4,4,5,5,5,5,5,1,1,1,1,2,1,3,1,1,6,44399,4,MIDA
205820,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,70,30,2,2,2,2,1,4,5,5,5,5,1,1,2,4,4,4,3,2,1,0,31192,3,MIDA
205909,2,2,1,2,1,2,1,2,2,1,5,3,5,1,5,1,5,4,2,2,2,10,60,5,5,5,5,5,4,1,4,3,2,1,1,1,3,4,1,5,1,1,0,169824,3,MIDA
