Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,California,Oklahoma,Tennessee
53,Air Traffic Controllers,4.38,1,1,3.38,4.25,2.38,3.12,3,4.62,4.62,4.12,1.75,4.5,1,1,3.5,3.88,3.38,2,2,2,2,2,2,2,152970,123710,144150
53,Aircraft Cargo Handling Supervisors,3.62,2.62,1.75,3,3.12,3,2.88,2.5,4,4,3.38,3,3.5,2.62,3.25,3.25,3.12,3.12,2,2,2,2,2,2,3,73240, ,74930
53,Airfield Operations Specialists,4.12,1.75,1.38,2.88,3.75,2.62,2.62,2.25,4,4,3.25,2.25,3.25,1.88,1.88,3,4,3.62,2,2,2,2,2,2,1,69750,71250,45280
53,"Airline Pilots, Copilots, and Flight Engineers",4.12,1.88,1.5,3,4,3.5,3.12,3.12,4,4,4.12,4.25,4,1.62,2.12,3.38,4,3.12,2,2,2,2,2,2,3,321460,137120,132520
53,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.25,2.38,1.62,2.75,3.12,3,2,2,3.88,3.75,3,3.12,3,2.25,3.12,2.88,3.12,2.88,1,2,2,2,2,1,3,38790,40280,36830
53,Automotive and Watercraft Service Attendants,3.12,2.38,1.75,2.25,2.75,3.25,2.38,2.12,3.38,3.38,2.75,2.88,2.88,3.12,3.12,3,2.88,2.62,1,1,2,2,1,2,3,42240,36370,31980
53,Aviation Inspectors,4,2,1.38,3,4.12,3,2.5,2.25,4,3.88,3.38,2.25,3.25,2,2,3.38,3.88,3.62,2,2,2,2,1,2,3,85570,107580,77080
47,Boilermakers,3.75,2.62,1.62,2.88,3.5,3.75,2.38,2,3.38,3.12,3,3,3,2.75,3.25,3.38,3.12,3,1,2,1,1,1,1,3,108420, ,61740
47,Brickmasons and Blockmasons,3,3.62,2.12,2.25,3,3.75,2.75,2,3,3,2.88,2.88,3,3,3.75,3.62,3,2.25,1,2,1,1,1,1,2,72410,49590,61940
53,Bridge and Lock Tenders,2.88,2.12,1.88,2,2.88,2.62,2,2.25,3,3,3,3,3.12,2,2.12,2.5,2.88,2.75,1,1,2,2,1,1,3,64950, ,62650
53,"Bus Drivers, Transit and Intercity",3,2,1.62,1.88,2.75,2.88,2,2.5,3.25,3.25,2.88,3.62,3.38,1.88,2.12,2.75,3.12,2.75,1,2,1,1,1,2,2,65460,45290,52740
53,"Captains, Mates, and Pilots of Water Vessels",3.75,2.62,2.62,2.75,3.5,3.38,2.5,2.62,3.88,3.88,3.5,3.25,3.25,2.38,2.88,3.25,3.62,3.38,2,2,2,2,2,2,3,96940, ,109250
47,Carpenters,3.5,2.88,3,2.62,3.25,3.62,2.88,2.5,3.38,3.38,3,3.12,3.12,2.62,3.38,3.88,3,2.75,1,2,2,1,1,1,3,77680,50760,50900
47,Carpet Installers,3,3,1.75,2.5,2.88,3.25,2.88,2.12,3,3.12,2.75,2.12,3,3.12,3.5,3.25,2.62,2.38,1,1,1,1,1,1,2,55280,49030,51280
47,Cement Masons and Concrete Finishers,3.25,3.25,2.12,2.12,3,3.88,2.38,2,3.12,3.12,2.88,3,3.12,3.25,3.12,3.25,2.12,2.12,1,1,1,1,1,2,3,72430,47070,47560
53,Cleaners of Vehicles and Equipment,2.88,2.38,1.5,1.88,2.5,3.25,1.62,2,2.88,2.75,2.25,2.12,2.25,3,2.25,2.25,2,2,1,1,1,1,1,1,2,40060,32310,34940
53,Commercial Pilots,4,2.12,1.75,3,4,3.38,2.88,2.5,4,4,4.12,4,4,2,2.12,3.25,3.88,3.38,2,2,1,2,1,1,3,168930,134230,133850
47,Construction and Building Inspectors,3.88,2,1.25,3,4,1.75,2.88,2.62,3.88,4,3,2,3.12,2,2,3,4,3.88,2,2,3,3,1,2,2,103500,62910,61220
47,Construction Laborers,3,3.12,2.25,2.25,2.88,3.88,2,2,3.25,3.25,2.5,2.88,3,3.12,3.75,2.88,2.88,2.12,1,1,1,1,1,1,2,66140,42810,44910
47,Continuous Mining Machine Operators,3.12,2.75,1.88,2.38,3.12,3.38,1.88,2.12,2.88,3.12,3.12,3.75,3.5,2.75,3,3,2.38,2.25,1,2,1,1,1,1,3,70030,46530,50540
53,Conveyor Operators and Tenders,3.5,2,1.88,2.5,3.38,3.12,2,2.12,3.75,3.5,3.25,2.5,3.25,2.12,3.12,3,2.88,3,1,1,1,1,1,1,3,43870,38490,42740
53,Crane and Tower Operators,3,2.25,1.25,2.38,2.88,3.5,2.38,2.12,3.12,3.25,3.12,3.75,3.5,2.12,2.75,3.12,2.88,2.88,1,2,1,1,1,1,3,80950,67030,59300
47,"Derrick Operators, Oil and Gas",3.38,2.75,1.25,2.38,3.25,3.75,2.38,2.38,3.25,3.38,3.25,3.75,3.38,3.5,3.63,3.25,2.75,2.75,2,2,2,1,1,1,3,64170,56790, 
53,Dredge Operators,2.75,2.25,1.25,2.38,2.62,3.38,2,2,2.88,2.88,2.88,3.38,3.12,2.25,2.88,2.75,2.38,2.38,1,1,1,1,1,1,3, , , 
53,Driver/Sales Workers,3,2.12,1.5,2.12,3,2.88,2.5,2.12,3.75,3.75,2.88,2.5,2.88,2.25,3,2.25,3,2.88,1,2,2,2,1,1,2,48070,28480,39390
47,Drywall and Ceiling Tile Installers,3,2.88,2.25,2.5,2.88,3.62,2.38,2,3.12,3.25,3,2.75,3.12,3.12,3.25,3.25,2.88,2.38,1,1,1,1,1,1,2,76210,49890,47790
47,"Earth Drillers, Except Oil and Gas",3.25,1.88,1.88,2.75,3.12,3.75,2.25,2.12,3.25,3,3.38,3.88,3,2.25,2.38,3.25,3,3,1,2,1,1,1,1,3,66390,65060,56020
47,Electricians,3.88,2.5,2.25,3,3.88,3.25,3,2.88,3.75,3.38,3,2.88,3.12,2.75,2.75,3.38,3.38,3,2,2,1,2,1,1,3,85780,62850,59530
47,Elevator and Escalator Installers and Repairers,3.75,2.25,1.62,2.88,3.5,3.62,2.38,2.38,3.62,3.25,2.88,3.12,3,2.38,2.62,3.25,3.12,3.12,2,2,1,1,1,1,3,124540,96620,89650
47,Energy Auditors,3.75,1.88,1.5,3.38,3.75,2.88,3.62,2.75,4,4,3,1.75,2.88,1.88,2.12,3,4,4,2,2,2,2,1,1,2,103500,62910,61220
47,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3,2.75,1.12,2,3,3.88,2.12,2,3.12,3.12,3,3.88,3,2.62,3,3,3,2.88,1,1,1,2,1,1,3,80730,47480,46460
47,"Explosives Workers, Ordnance Handling Experts, and Blasters",3.88,2.5,1.38,2.63,3.88,4,2.63,2.13,3.88,3.75,3.25,3.63,3.38,2.38,3,3.13,3,2.88,2,2,2,1,1,2,3,87710,55340,98890
47,Fence Erectors,3,3.12,2.25,2,2.75,3.75,2,2,3,3,2.5,3,2.75,3.12,3.38,2.88,2.25,2.12,1,1,1,1,1,1,2,61060,44460,43570
47,First-Line Supervisors of Construction Trades and Extraction Workers,3.38,2,1.75,3,3.25,3.12,3,2.12,4,3.75,3,2.25,3.12,2.12,2.25,3,3.25,3.12,2,2,3,2,2,2,2,101990,75150,73330
53,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.62,2.12,1.75,2.88,3.38,3,2.25,2.12,4,4,2.5,2.12,3.12,2,2.25,2.88,3.75,3.12,2,2,3,2,1,2,2, , , 
53,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,3.62,1.5,1.12,3,3.5,2.38,2.88,2.25,4,4,2.88,2.12,3.12,2,2.12,2.88,3.75,3.5,2,2,3,2,2,2,2, , , 
53,Flight Attendants,3.62,2.12,1.62,2.75,3.12,2.88,2,2.12,3.88,4,3.12,2.12,3.12,2.75,2.88,2.12,3,2.88,1,2,2,2,2,2,2,84060, , 
47,"Floor Layers, Except Carpet, Wood, and Hard Tiles",3,2.75,1,2.5,2.88,3.13,1.75,1.5,3.38,3.13,2.13,2,2.88,2.5,3.13,2.88,2.75,2.5,1,1,2,1,1,1,1,72130,39670,42990
47,Floor Sanders and Finishers,2.75,3,1.62,2.12,2.75,3.62,2,2.12,3.12,3,2.62,3,3,3.25,3.12,2.88,2.38,2.12,1,1,1,1,1,1,2,58800, ,45760
53,Gas Compressor and Gas Pumping Station Operators,3.12,2,1.75,2.75,3.12,3.88,2.12,2.25,3.12,3.12,3.38,3.25,3.12,2,2.25,2.75,3.12,3,1,2,1,1,1,1,3,74540,55010,67720
47,Glaziers,3,2.5,1.75,2.38,3,3.25,2.25,2,3,2.88,2.25,2.25,3,2.62,3.12,3,3,2.25,1,1,1,1,1,1,2,75980,44090,43760
47,Hazardous Materials Removal Workers,3.5,2.38,1.75,2.88,3.38,3.25,2.38,2.62,3.88,3.62,3,2.88,3.12,2.25,3,3.25,3.25,3.5,1,2,2,2,1,1,3,61240,44020,66360
53,Heavy and Tractor-Trailer Truck Drivers,3.12,2.38,1.75,2,2.88,3,2,2,3.12,3,2.88,3.75,3.25,2.5,3,3,3,2.5,1,1,1,1,1,1,3,60490,56300,57670
47,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",3,3,2,2,2.62,3.25,2.38,1.88,3,2.88,2.88,2.88,2.88,3,3.5,3.12,2.25,2,1,1,1,1,1,1,3,54820,38560,43170
47,Helpers--Carpenters,3,2.88,2,2.25,3,3.25,2.12,2.12,3,3,2.38,3,3,2.75,3.12,3,2.25,2.25,1,1,1,1,1,1,2,50940,36280,39150
47,Helpers--Electricians,3.12,2.62,2,2.25,2.88,4,2.25,2.12,3.12,3.12,2.38,2.5,3.12,2.5,2.88,3,2.38,2.38,1,2,1,1,1,1,3,52760,43350,40550
47,Helpers--Extraction Workers,3.12,3,1.88,2.5,3,4,2.25,2.5,3.25,3,3.12,3.75,3.25,3.12,3.62,3.12,2.75,2.25,1,2,1,1,1,1,3,47880,44960, 
47,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.75,3,1.25,2.13,2.63,3.38,1.13,1.88,3,3,2.5,2.25,2.63,3,3.38,2.75,2.13,2.13,1,1,1,1,1,1,3,48510, , 
47,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2.88,2.62,1.62,2.12,2.75,3.75,2.25,2,3.25,3,2,2.25,2.75,2.75,3,3.12,2.12,2,1,1,1,1,1,1,3,51790,39870,41430
47,Helpers--Roofers,2.88,2.62,2,2.5,2.75,3.5,2.25,1.88,3,3,2.88,2.88,2.88,3,3.12,3.25,2.38,2,1,1,1,1,1,1,3,51430,36070,38800
47,Highway Maintenance Workers,3,2.88,1.62,2.12,3,3.25,2.12,2,3.38,3.12,3,3.12,3.12,3.12,3.38,3.12,2.62,2.5,1,1,1,1,1,1,3,61640,39150,46450
53,Hoist and Winch Operators,3.38,2,1.13,2.63,3.25,3.38,2.13,2.5,3.38,3.38,3.25,3.63,3.38,2.38,2.63,3.25,2.88,2.5,2,2,2,2,2,2,3, , ,42810
53,Industrial Truck and Tractor Operators,3.12,2.25,1.88,2.12,2.75,3.5,2.12,1.88,3,3,3.12,3.25,3.12,2.5,3.12,3.12,2.38,2.5,1,1,1,1,1,1,3,50680,46450,43460
47,"Insulation Workers, Floor, Ceiling, and Wall",2.62,2.88,1.75,2.5,2.62,3.5,2.12,2.25,2.88,3,2.88,2.75,3,3,3,3.12,2.75,2.25,1,1,2,2,1,1,3,51450,45580,46120
47,"Insulation Workers, Mechanical",3,2.5,1.62,2.25,2.88,3.12,2.12,1.75,3.12,3.12,2.62,2.12,3.12,2.75,3.12,2.88,2.75,2.38,1,1,1,1,1,1,2,114870,45270,42970
53,"Laborers and Freight, Stock, and Material Movers, Hand",3,3,2.25,2,2.75,3.12,2,2,3.12,3,2.25,2.88,3,3.12,3.88,2.75,2.88,2.62,1,1,1,1,1,1,2,44270,36400,39430
53,Light Truck Drivers,3.12,2.25,1.5,2.38,3,3.12,2.12,2,3.12,3.12,3,3.12,2.88,3.12,3.12,2.88,3,2.75,1,1,1,1,1,1,2,51120,42300,49830
47,"Loading and Moving Machine Operators, Underground Mining",2.88,2.5,1.62,2.12,2.88,3.25,2,2,3,3,3.12,3.38,3.12,2.75,2.75,3,2.75,2.12,1,1,1,1,1,1,3, ,42830, 
53,Locomotive Engineers,3.25,2.12,1.5,2.12,3.5,3.38,2.5,2.25,3.75,3.75,3.75,3.88,4,2.12,2.5,3,3.25,3,2,2,1,1,1,2,3,71660,84570,88200
53,Machine Feeders and Offbearers,2.62,2.38,1.62,2,2.62,3,2.25,2.12,3,3.12,2.88,3.25,2.88,2.25,3,2.5,2.62,2.75,1,1,1,1,1,1,3,42350,35550,38910
53,Motorboat Operators,3.38,2.38,1.62,2.62,3,3.62,2,2.62,3.12,3.5,3.62,3.25,3.38,2.12,3,3,2.75,2.62,1,2,2,1,1,1,3,84130, ,43220
47,Operating Engineers and Other Construction Equipment Operators,3,2.12,1.75,2.25,3,3.12,2.12,2.12,3.12,3,3.12,3.38,3,2.12,3,3.12,2.88,2.25,1,1,1,1,1,1,3,93680,48680,51680
53,"Packers and Packagers, Hand",2.62,2.5,1.38,1.88,2.5,3,2,2,3,2.88,2.38,2,2.75,2.5,3,2.25,2.12,2,1,1,1,1,1,1,1,39560,32210,34420
47,"Painters, Construction and Maintenance",3,2.62,1.12,2.12,2.88,3.12,2.12,1.5,3.12,3,2,2.12,2.88,3,3,2.75,3,2.25,1,1,1,1,1,1,2,61070,46470,42950
47,Paperhangers,2.88,2.38,1.12,1.88,2.88,3.62,1.88,1.62,3,2.88,2.62,1.62,2.75,2.75,2.62,2.88,2.5,2.25,1,1,1,1,1,1,2,65440,50380, 
53,Parking Attendants,3,2,1.88,2,3,2.88,2.5,2.12,3.38,3.38,2.88,2.88,3,2.75,2.5,2.88,2.62,2.62,1,1,1,1,1,1,1,39270,25760,28860
53,Passenger Attendants,3.38,2,2.12,2,3,2.38,2.25,2.12,3.75,3.75,2.5,1.75,3,2.38,2.38,2.25,3,2.62,1,1,2,2,2,1,2,44430,32550,29570
47,"Paving, Surfacing, and Tamping Equipment Operators",3,2.38,1.88,1.75,2.75,3,2,2,3,3,2.75,3.25,3,2.75,3.12,3,2.38,1.88,1,1,1,1,1,1,3,90010,48910,48390
