Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Michigan,Minnesota,Pennsylvania
15,Actuaries,4,1,1,3.12,4.12,1,4.62,2.5,4,4,2.75,1,3.25,1,1,2.38,4,4,2,2,2,2,1,1,1,112140,123660,131200
19,Agricultural Technicians,3.38,2,1.62,3,3.25,2.88,3,2,3.75,3.75,3,2.38,3,2.12,2.62,2.75,3.5,3.38,1,2,2,1,1,1,2,42930,57580,49000
19,Animal Scientists,4,1.25,1.38,3.75,4,1.12,3.25,2.75,4,4,3,1.88,3.12,1.5,2,2.75,4,4,2,2,3,2,2,2,2,56130,130410,92710
19,Anthropologists and Archeologists,4.12,1.38,1.25,3.75,4,1.75,2.88,2.88,4.25,4.38,2.88,1,3.12,1.5,1.62,3,4.38,4.38,2,2,2,2,2,1,1,74710,66210,75260
19,Astronomers,4.12,1,1,3.75,4.12,1.25,4,2.88,4.12,4.12,3.12,1,3.5,1,1,2.88,4.12,4.12,2,2,2,2,2,1,1, , , 
19,Atmospheric and Space Scientists,4,1.38,1,3.25,4.12,1.25,3.5,2.88,4.12,4.25,2.88,1,2.88,1,1,2.62,4.12,3.88,2,2,2,2,2,1,1,101700, ,91970
19,Biochemists and Biophysicists,4,1.12,1,3.75,4.25,2.25,4,3,4.12,4.12,3.12,1.75,3,1,1.75,3.25,4.25,4.25,2,2,2,2,1,1,2,81350,88010,114280
19,Bioinformatics Scientists,4,1,1,3.88,4,1.75,3.88,3.12,4.12,4,3.12,1,3.38,1,1,2.88,4.25,4.25,2,2,2,2,2,2,2,88620,82410,95920
15,Bioinformatics Technicians,3.75,1,1,3.25,3.75,1,3.62,2.88,3.75,3.5,3,1,3.5,1,1,3,4,3.62,2,2,2,2,1,1,1,70290, ,63970
19,Biological Technicians,3.62,2.12,1.38,3,3.88,2.88,3,2.5,3.88,3.75,3,2,3.38,2,2.25,3,3.62,3.62,2,2,1,1,1,1,3,51410,50520,55550
15,Business Intelligence Analysts,3.75,1.25,1,3.38,4,1,3.5,2,4,4,2.5,1,2.75,1,1,2.25,4,4,2,2,2,2,1,2,1,102030,118110,107450
19,Chemical Technicians,3.62,2,1.25,3,3.75,3.12,3.12,2.75,3.75,3.62,3,2.12,3.12,1.88,2.12,3.12,4,3.88,2,2,2,2,1,2,3,58710,59090,61150
19,Chemists,4,1.38,1.25,3.12,4,2.75,3.75,2.75,4,4,3.12,1.88,3,1.62,1.75,3,4,4,2,2,1,1,1,1,3,91860,90660,76790
19,Climate Change Policy Analysts,4,1,1,3.12,4,1,3,2.62,4,4,2.25,1,3,1,1,2.62,4.25,4,2,2,3,3,2,2,1,81670,88890,79770
19,Clinical and Counseling Psychologists,4,1,1,3.75,4,1,2.25,2.75,4.38,4.62,2.5,1,3.25,1,1,2,4.5,4.25,2,2,3,3,2,2,1,88810,98260,103980
19,Clinical Neuropsychologists,4.38,1.12,1.12,3.25,4.38,1.88,3,3,4.75,4.5,3,1.12,3.38,1.12,1.25,2.5,4.62,4.25,2,2,3,3,2,2,1,91060,103820,114620
15,Computer and Information Research Scientists,4.12,1,1,3.88,4.12,2,3.38,2.88,4,4,3,1,2.88,1,1,3.25,3.88,3.75,2,2,2,2,1,2,3,114760,135220,128790
15,Computer Network Architects,4,1.25,1,3.12,4,2,3,2.62,4,3.75,3,1.25,3,1,1,2.75,4,4,2,2,3,2,1,2,3,118280,130280,123100
15,Computer Network Support Specialists,3.88,1,1,3,3.75,2.38,2.38,2.5,3.88,3.75,2.62,1,3.12,1,1.88,2.88,3.62,3.38,2,2,1,1,1,1,3,66180,79260,76040
15,Computer Programmers,3.75,1.25,1,3,3.75,2,3.12,2.25,3.88,3.5,2.88,1,3.12,1,1,2.88,4,3.25,2,2,1,2,2,2,2,72480,102990,89210
15,Computer Systems Analysts,4.12,1.25,1,3.5,3.88,1.88,3,2.5,4,4,3,1.25,2.88,1,1,3.12,4,3.38,2,2,2,2,2,2,3,102420,111350,99590
15,Computer Systems Engineers/Architects,4,1.25,1,3.38,4,1.88,3.12,2.88,4,4,3,1.38,3,1,1,2.88,4,4,2,2,2,2,1,1,3,103850,107650,107240
15,Computer User Support Specialists,3.62,1.62,1.25,3.12,3.38,2.62,2.62,2.62,4,4,3,1.62,3,1.38,2,2.88,4,3.88,2,2,1,2,2,1,3,58550,67580,60530
19,Conservation Scientists,3.75,2.25,2.25,3.25,3.5,2.25,3.25,2.62,4.12,3.88,3,2,2.88,2.25,2.5,2.88,4,3.62,2,2,3,3,2,2,2,69310,76290,57860
15,Database Administrators,4,1.25,1,3.12,3.88,1.75,3.12,2.5,3.88,3.5,3,1.12,3,1.12,1,3,3.88,3.38,2,2,1,2,1,1,3,97660,101010,105100
15,Database Architects,3.88,1.25,1,3.25,3.75,1.88,3.12,2.5,3.88,3.75,3.12,1,3.25,1,1,2.88,3.88,3.25,2,2,2,2,1,1,2,117600,127730,130130
19,Economists,4,1,1,3.88,4.12,1,4.12,2.88,4,4,2.38,1,2.75,1,1,2.38,4.12,4,2,2,1,2,1,1,1,147280,112460,110740
19,"Environmental Science and Protection Technicians, Including Health",3.88,2.12,1.5,3,3.62,2.88,3,2.5,4,4,3,2.12,3,2,2.12,3,4,3.88,2,2,2,2,1,1,2,58720,63430,63010
19,Epidemiologists,4.12,1,1,4,4.38,1.12,3.62,2.88,4.38,4.25,3,1,3.12,1,1,3,4.38,4.25,2,2,2,3,2,2,1,80580,98110,90700
19,Food Science Technicians,3.62,1.38,1.12,2.75,3.62,2.5,3,2,3.75,3.75,3.12,2.25,3.12,1.88,1.38,2.62,3.75,3.75,2,2,1,1,1,1,2,56280,52900,51400
19,Food Scientists and Technologists,4,1.62,1.5,3.38,4,2,3.12,2.75,4.12,3.88,3,2.12,3,1.62,1.62,2.88,4,3.88,2,2,3,2,2,1,2,96860,95980,83770
19,Forensic Science Technicians,3.88,2,1.5,3.25,4,2.88,2.75,2.75,4,4,3.25,1.88,3,2.12,2.38,3,4,4,2,2,1,2,2,1,2,85070,72550,61090
19,Forest and Conservation Technicians,3.62,2.5,1.62,2.88,3.62,3.12,2.75,2.5,3.75,3.75,2.88,2.75,3.12,2.88,3,3.25,3.62,3.12,1,2,1,2,2,2,2,54690,63340,58110
19,Foresters,3.88,2.25,2,3,3.88,2,2.88,2.5,4,3.88,2.88,2.25,3,2.12,2.62,3.12,3.88,3.75,2,2,3,3,2,2,2,77490,72080,79970
19,Geographers,4,1.5,1,3.25,4.12,1.25,3,2.75,4,4,3.12,1,2.88,1,1,3,4.12,4.12,2,2,2,2,1,1,1, , ,97760
19,"Geological Technicians, Except Hydrologic Technicians",3.25,1.88,1.75,2.88,3.38,2.5,3,2.38,3.75,3.38,3,2.25,3,1.88,2.25,2.62,3.88,3.38,2,2,1,2,1,2,2,45720,52040,43900
19,"Geoscientists, Except Hydrologists and Geographers",4,1.75,1.12,3.38,4.12,1.75,3.75,2.38,4,4,3,1.88,3,1.75,1.75,3,4.12,4,2,2,2,2,1,1,1,87670,81240,85060
19,Historians,3.5,1.5,1,3.12,3.88,1.88,2,2.25,4,4,2.12,1,3,1.5,1,2,4.75,4.25,2,2,1,2,2,1,1,64690,79170,76690
19,Hydrologists,3.88,1.88,1.5,3.5,3.88,2.12,3.88,2.88,4,4,3.25,1.25,2.88,2.12,2.12,3,4,4,2,2,2,2,1,1,2,107210,91190,94150
19,Industrial-Organizational Psychologists,4.12,1,1,3.88,4.12,1,3.88,2.62,4.25,4.38,2.75,1,3.12,1,1,2.62,4.38,4.25,2,2,3,3,2,2,1, , , 
15,Information Security Analysts,4,1.38,1,3,4,1.88,2.75,2.25,4,3.75,3,1,3.12,1.12,1,2.75,4,3.88,2,2,2,2,1,2,2,107630,126150,114870
19,Materials Scientists,4,1,1,3.38,4,1.62,3.25,2.5,4,4,3,1.75,2.88,1,1,3,4,4,2,2,2,3,1,1,2,99530,116010,102940
15,Mathematicians,4.12,1,1,3.75,4.12,1,5,2.75,4,3.88,3,1,3,1,1,2.75,4,3.75,2,2,1,2,1,1,1,70900, , 
19,"Medical Scientists, Except Epidemiologists",4,1.25,1,3.25,4.12,2.25,3.38,3,4,4.12,3,1,3.12,1,1,2.5,4,4.12,2,2,2,2,1,2,1,95880,97750,113690
19,Microbiologists,4,1.5,1.38,3.75,4.12,2.62,2.88,2.75,4,4,3,2.12,3.5,1.5,2,3,4.25,4.12,2,2,2,2,1,1,2,75600,93380,77100
15,Network and Computer Systems Administrators,3.75,1.25,1,3.25,3.75,2.5,3,2.75,3.5,3.75,3,2,3.12,1,1,2.88,3.88,3.25,2,2,2,2,1,2,3,95790,98600,94420
19,Nuclear Monitoring Technicians,4,2,1,2.88,4,2.75,3.12,2.62,4,4,3.62,2.25,3.75,2.12,2.12,2.88,3.88,3.75,2,2,2,2,1,1,3,112750, ,107700
19,Occupational Health and Safety Specialists,4,1.5,1.5,3.12,4,2,3.12,2.75,4,4,3.12,2,3.12,1.88,2,3,3.88,3.88,2,2,2,3,2,1,2,81250,92300,87430
19,Occupational Health and Safety Technicians,3.88,1.88,1.88,3,3.88,1.88,2.75,2.5,3.88,3.88,3,1.88,3,2,2,2.25,3.88,3.75,2,2,3,3,2,1,2,74070,72060,64060
15,Operations Research Analysts,4.12,1,1,3.62,4.12,1,4.5,2.88,4,4,2.75,1,3,1,1,2.12,4,4,2,2,1,2,1,2,1,95200,97620,85490
19,Physicists,4.12,1,1,4.12,4.12,1,4.75,2.88,4.12,4.12,3,1,3.25,1,1,3.62,4.25,4,2,2,2,3,2,2,2,133920,217700,188220
19,Political Scientists,3.75,1,1,3.12,4,1,3,2.88,4.12,4.12,2.12,1,2.88,1,1,2.12,4.62,4,2,2,2,2,2,1,1,119030, ,138120
19,Quality Control Analysts,3.62,2,1.25,2.88,3.38,2.88,3.12,2.75,3.88,3.75,3.12,2,3.12,2,2.12,2.75,4,3.88,2,2,1,1,1,1,3,60420,52820,63610
19,Range Managers,3.75,2,1,3.25,3.75,2.12,3,2.25,3.88,4,2.62,1.75,3,2,2,2.88,4,3.88,2,2,3,2,2,1,1,69310,76290,57860
19,Remote Sensing Scientists and Technologists,4.25,1.12,1,3.62,4.25,1.88,3.88,2.62,4,4,3,1.38,3,1,1.12,3.12,4,4,2,2,2,2,1,1,1,110920,149950,102260
19,School Psychologists,4.12,1,1,3.12,4,1,2.88,2.75,4.38,4.38,2.88,1,3,1,1,2.5,4.12,4,2,2,3,3,2,2,1,79090,87060,92380
19,Social Science Research Assistants,3.5,1.38,1,3,3.25,1.25,3.12,2.38,4,4,2.62,1.12,3.12,1,1,2.62,4,3.75,2,2,1,1,1,1,1,55600,55250,57490
19,Sociologists,4,1,1,3.25,4.12,1,3,2.5,4.25,4.25,2.12,1,2.75,1,1,2,4.12,4.12,2,2,2,2,2,1,1,101850,83040, 
15,Software Quality Assurance Analysts and Testers,4,1.38,1,3,4,2,2.88,2.25,4,4,3.12,1,3,1,1,2.62,4,3.88,2,2,1,1,1,1,3,96810,107850,94440
19,Soil and Plant Scientists,4,2,1.25,3.5,4,2,3.12,2.88,4,4,3,1.62,3,2.12,2.12,2.88,4,4,2,2,2,2,1,1,1,70300,71670,71610
15,Statisticians,3.88,1,1,3.38,4,1,4.75,2.75,4,4,2.88,1,2.88,1,1,2.62,4.12,4,2,2,1,1,1,1,1,104340,90810,99020
19,Survey Researchers,4,1,1,3,4.12,1.5,4,2.88,4,4,2.75,1,3,1,1,2.12,4.12,4.12,2,2,2,2,1,1,1,79620,86040,59830
19,Transportation Planners,4,1,1,4,4,1.12,3.12,2.88,4,4,2.88,1,3,1,1,3.88,4,4,2,2,3,2,1,2,1,83520,91420,96150
19,Urban and Regional Planners,3.88,1,1,3.62,3.88,1,3,2.25,4.12,4.12,2.62,1,2.88,1,1,3.12,4,4,2,2,3,3,2,2,1,75010,89960,76360
15,Video Game Designers,3.75,1.12,1,4.12,3.75,2,2.88,2.62,3.88,3.75,3,1,3.38,1,1,3.25,4,3.88,2,2,3,2,1,2,1,81830,89790,73510
15,Web Developers,3.88,1.25,1,3.25,3.5,2,3.12,2.5,3.75,3.25,3,1,3.12,1,1,3.12,3.62,3.12,2,2,2,2,1,1,2,93220,104110,92930
19,Zoologists and Wildlife Biologists,4,2,2,3.38,4,2,3,2.25,4,4,3,2,3.25,2,2,2.88,4,4,2,2,3,3,2,2,1,79550,72870,72360
