V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
201089,2,2,1,2,1,2,1,5,2,2,4,4,4,1,4,2,4,4,2,2,2,15,85,5,4,4,5,4,1,2,2,4,2,2,1,1,3,4,4,6,2,1,0,51216,3,NE
201169,1,1,1,1,1,1,1,1,1,4,2,2,2,3,2,4,2,2,1,1,1,100,5,1,1,1,1,1,5,5,5,5,5,1,2,2,4,2,1,6,2,1,0,298990,3,NE
201186,3,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,2,4,1,2,1,70,10,3,2,2,2,1,5,5,5,5,4,2,1,2,4,2,1,5,1,1,0,239507,3,NE
201871,2,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,3,1,1,1,85,15,3,2,2,3,2,5,5,5,5,4,1,1,2,3,3,6,4,1,1,0,51365,2,NE
201912,3,2,1,1,1,1,1,1,1,2,3,5,5,2,3,2,4,4,2,2,2,60,30,3,5,2,4,2,4,5,2,4,2,2,1,1,2,3,1,6,1,1,3,229737,4,NE
202039,1,1,1,1,1,1,1,1,5,3,4,3,4,1,4,2,3,4,1,1,1,50,15,2,3,1,2,1,5,5,4,5,4,1,1,1,2,2,1,2,1,3,0,54868,3,NE
202057,4,2,1,1,1,2,1,1,1,2,5,4,3,1,5,2,4,5,2,2,2,30,75,5,4,5,5,2,1,3,3,3,2,1,2,1,2,3,1,4,2,1,1,304592,3,NE
202063,4,1,1,1,1,2,3,1,5,3,1,2,3,3,1,3,1,1,2,2,1,50,50,5,1,3,4,2,1,1,2,4,5,2,1,1,4,3,6,2,1,1,1,240015,3,NE
202104,2,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,20,85,5,5,5,5,5,1,1,2,2,2,1,1,1,3,4,1,3,2,1,0,92912,3,NE
202111,2,1,1,4,1,1,1,1,1,4,3,2,1,4,3,3,2,2,1,1,1,70,15,1,1,1,1,1,5,5,5,5,5,2,2,2,4,2,1,5,1,1,2,956931,1,NE
202193,4,1,1,1,1,1,1,5,1,2,3,3,4,1,4,1,4,3,2,2,2,75,15,1,3,1,3,4,5,5,5,5,5,1,1,1,2,3,4,5,1,2,0,181425,3,NE
202199,3,1,1,1,1,1,1,1,1,3,4,4,3,3,5,3,4,5,1,1,1,60,15,1,1,1,1,1,3,5,5,5,2,1,1,1,2,3,6,4,1,1,0,193981,2,NE
