Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,California,Hawaii,NorthCarolina
13,Accountants and Auditors,3.75,1.62,1,2.88,3.75,1.12,3.38,2.38,4,3.88,3,1,2.88,1,1,2.12,3.88,3.75,2,2,2,2,2,2,1,104710,76070,91240
17,Aerospace Engineering and Operations Technologists and Technicians,3.88,2,1.38,3,3.88,3,3,2.75,4,4,3.25,2.12,3.12,1.25,2,3.25,4,3.75,2,2,2,2,1,2,3,95090, ,77290
17,Aerospace Engineers,4,1,1,3.5,4,1,3.88,2.62,3.88,3.88,3,1,3,1,1,3.25,4.12,3.88,2,2,3,3,1,2,2,157060,153730,120550
13,"Agents and Business Managers of Artists, Performers, and Athletes",3.75,1,1,3.25,3.62,1.25,2.62,2,4,4.12,1.88,1,2.88,1,1,2,4,3.62,2,2,3,3,2,2,1, , , 
17,Agricultural Engineers,4,1.5,1.38,3.5,4,1.88,3.38,2.25,4,4,2.88,2,3,1.5,1.88,3.62,4,4,2,2,2,2,2,1,2, , , 
13,Appraisers and Assessors of Real Estate,3.88,1.12,1.12,2.75,3.88,1.25,2.75,2.25,3.88,3.88,2.62,1.88,2.75,1,1.12,2.62,4,3.5,2,2,2,2,2,1,1, , , 
17,"Architects, Except Landscape and Naval",4,1.12,1,4,4,2,3.25,2.88,4,4,3.25,1,3.12,1,1,4.12,4,4,2,2,3,3,2,1,2,123130,100230,96700
17,Architectural and Civil Drafters,3.5,1.75,1.25,3.38,3.38,2.38,3.38,2.5,3.62,3.38,2.62,1.25,3.12,1.25,1.25,3.62,3.62,3.62,2,2,2,2,1,2,2,78750,64910,66680
17,Automotive Engineering Technicians,3.88,1.88,2.12,3,3.75,3.12,3,2.5,3.62,3.5,3.12,2.62,3.25,2,2.38,3.12,3.88,3.38,2,2,1,1,1,1,3,87720, ,66470
17,Bioengineers and Biomedical Engineers,4,1,1,3.75,4.12,2.12,3.75,2.75,4,4,3,1.25,3.12,1,1.12,3.5,4,4,2,2,2,2,1,2,3,127610, ,105820
13,Budget Analysts,3.75,1.12,1,3,3.62,1.5,3.88,2.25,3.88,3.88,3,1,3,1,1,2,3.88,3.62,2,2,2,2,1,1,1,108150,89740,83000
13,Business Continuity Planners,3.88,1,1,3.88,4,1,2.75,2.5,4,4,2.88,1,3,1,1,2.62,3.88,4,2,2,3,3,2,2,1,102050,91060,85440
