Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NewHampshire,NewJersey,NorthDakota
13,Accountants and Auditors,3.75,1.62,1,2.88,3.75,1.12,3.38,2.38,4,3.88,3,1,2.88,1,1,2.12,3.88,3.75,2,2,2,2,2,2,1,89850,113110,75220
27,Actors,2.88,2,1.5,3,2.88,2,1,3.88,4,4.12,2,1,3,2,2,2.62,3.88,2.88,1,1,2,1,2,1,1, , , 
13,"Agents and Business Managers of Artists, Performers, and Athletes",3.75,1,1,3.25,3.62,1.25,2.62,2,4,4.12,1.88,1,2.88,1,1,2,4,3.62,2,2,3,3,2,2,1, ,138640, 
13,Appraisers and Assessors of Real Estate,3.88,1.12,1.12,2.75,3.88,1.25,2.75,2.25,3.88,3.88,2.62,1.88,2.75,1,1.12,2.62,4,3.5,2,2,2,2,2,1,1, , , 
27,Art Directors,3.62,1.12,1,4.25,3.5,2.12,2.5,2.38,4,4,2.75,1.25,2.75,1,1,3.88,4,3.38,2,2,3,3,2,2,1,109040,130770, 
27,Athletes and Sports Competitors,3.38,3.62,3.62,2.88,3.38,3.12,2.12,2.38,4,3.88,2.88,2.88,3.12,3.88,3.88,3,3.25,2.75,1,2,2,2,2,1,2, ,211960, 
27,Audio and Video Technicians,3.38,2,1.62,2.88,3.25,3,2.12,2.12,3.75,3.88,3,2.12,3.12,2.12,2.12,3,3.5,3.5,2,2,2,2,1,1,3,62510,79950,45170
27,Broadcast Announcers and Radio Disc Jockeys,3.38,1.5,1.5,3.5,3.38,2.25,1.75,3,4,4.88,2.12,2,3.25,1,1.5,2,4,3.88,1,2,2,2,2,2,1,53980,127640,47430
27,Broadcast Technicians,3.25,2,1.12,3,3.12,3,2.62,2.62,3.62,3.25,3,2.5,3.12,2,2.38,3,3.62,3.25,2,2,1,1,1,2,3, , ,46380
13,Budget Analysts,3.75,1.12,1,3,3.62,1.5,3.88,2.25,3.88,3.88,3,1,3,1,1,2,3.88,3.62,2,2,2,2,1,1,1,97460,95130,81490
13,Business Continuity Planners,3.88,1,1,3.88,4,1,2.75,2.5,4,4,2.88,1,3,1,1,2.62,3.88,4,2,2,3,3,2,2,1,96980,95810,88630
13,"Buyers and Purchasing Agents, Farm Products",3.62,1.5,1,3,3.38,1.75,3.12,2.38,3.62,4,2.5,1,2.88,1.88,1.75,2.12,3.62,3.25,2,2,3,3,2,2,1, , , 
27,"Camera Operators, Television, Video, and Film",3.12,2,1.62,3.12,3.12,3.12,2,2.12,3.5,3.62,2.88,2.12,3.25,2,2.62,3.75,2.88,2.75,1,2,2,2,2,2,3,51170,100430,49630
27,Choreographers,3.62,3.75,2.62,3.88,3.25,1.88,2,3,3.88,4,2.62,1.75,3.12,3.75,2.75,3.75,3.62,3,1,2,3,2,2,2,1, , , 
13,"Claims Adjusters, Examiners, and Investigators",4,1.5,1,2.75,4,1.75,3,2.62,4.12,4.12,3,1,3,1,1,2.5,4.38,3.88,2,2,3,2,2,1,1,82250,90390,66010
27,Coaches and Scouts,3.75,2.5,1.88,3.75,3.75,2.38,2.25,2.75,4.12,4.62,2.62,1,3.12,2.62,2.88,3.38,3.75,3.5,2,2,3,3,2,2,2,57420,84980,45000
27,Commercial and Industrial Designers,3.75,1.62,1,3.88,3.38,2.12,2.75,2.5,3.75,3.75,2.75,1.75,3.12,1,1.12,3.75,3.75,3.12,2,2,2,3,2,2,1,90140,86510,63720
13,"Compensation, Benefits, and Job Analysis Specialists",3.62,1.25,1,3,3.62,1.38,3.12,2,3.88,4,2.62,1,3,1,1,2,3.88,3.38,2,2,3,2,1,1,1,82060,94420,79250
13,Compliance Officers,3.88,1.62,1.62,3,3.5,1.62,2.12,2.5,4,4,2.75,1.75,3,1.75,1.62,2.5,4,4,2,2,3,3,2,2,1,85740,96970,81750
13,Cost Estimators,3.75,1,1,3,4.12,1.12,4,2,4,4,2.88,1,3,1,1,3,3.88,3.75,2,2,3,2,2,1,1,82120,89320,72880
27,Court Reporters and Simultaneous Captioners,2.88,1,1,1.88,2.62,2.25,2,2.25,4.12,3.88,2.5,1.38,3.75,1,1,1.88,3.88,4,1,1,1,1,1,1,1, ,68420,67870
27,Craft Artists,3,2.25,1.5,3.62,2.88,3.75,2.5,2,3,3.12,2,2.12,2.88,2.12,2.5,3.5,2.88,2.75,1,1,1,2,2,1,2, , , 
13,Credit Analysts,3.75,1,1,2.88,3.88,1.62,3.75,2.38,3.88,4,3,1,2.88,1,1,1.88,3.88,3.38,1,2,1,1,1,1,1,90530,108040,84830
13,Credit Counselors,3.75,1.38,1,3.12,3.75,1.5,3.12,2.12,4,4.12,2.62,1,3,1,1,2.12,3.88,3.75,2,2,3,3,2,2,1,58930,67630,54100
27,Dancers,2.62,4.25,2.62,2.88,2.5,2.12,1.5,2.88,3.5,3,2.5,1.5,3,4.25,3.62,2.75,2.75,2.62,1,1,1,1,1,1,1, , , 
27,Editors,3.5,1.5,1,3.88,3.38,2,2.12,2.62,4,4,2.88,1,3,1,1,2.88,4.88,4.62,2,2,3,2,2,2,1,70770, ,57330
13,Farm Labor Contractors,2.88,1.88,1,2.12,2.75,2.38,2.12,2.12,3.62,3.5,2.12,2.38,2.75,2,2.12,1.88,2.88,2.88,1,1,2,2,1,2,1, , , 
27,Fashion Designers,3.62,1.38,1.38,3.88,3.5,2.38,2.25,2,3.75,3.88,2.88,1.62,3,1,1.5,3.75,3.88,3.62,2,2,3,3,2,2,1,90750,96380, 
27,Film and Video Editors,3.38,1,1,3.62,3.12,2.38,2,2.25,3.88,3.75,3.12,1.38,3.38,1,1,3.62,3.62,3.38,2,2,2,2,1,2,2,72230,92490,45300
13,Financial Examiners,4.12,1,1,3,4.12,1.12,3.5,2.75,4,4.12,3,1,3.12,1,1,2.38,4.25,4,2,2,2,2,2,2,1,126510,119450,90960
13,Financial Quantitative Analysts,3.88,1.25,1,3.62,3.75,1.5,4.38,2.38,3.88,3.75,2.5,1,3.12,1,1,2,4,3.88,2,2,2,3,1,1,1,88180,97980,78600
27,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,2.25,1.5,4,3,3.38,2.12,1.75,3.12,3,2.5,1.75,2.88,1.88,2.62,4,3,2.88,1,2,1,1,1,1,2,44330,66610, 
27,Floral Designers,3.12,2.12,1.5,3.38,2.88,3.12,2.25,2,4,4,2.25,1.25,3,2.12,2.12,3.88,3,2.88,1,2,1,2,2,2,1,40320,41020,35230
13,"Fraud Examiners, Investigators and Analysts",4,1.25,1,3,4,1.38,3,2.62,4.12,4,2.75,1,3.12,1,1,2,4,4.25,2,2,3,3,2,2,1,88180,97980,78600
13,Fundraisers,3.75,1,1,3.75,3.88,1,3,2.38,4,4.12,2,1,2.75,1,1,2.25,4,4,2,2,3,3,2,1,1,74810,77080,74550
